# Time-averaged data for fix 5
# TimeStep c_msd[4]
54060 156.844
54070 156.829
54080 156.809
54090 156.806
54100 156.805
54110 156.794
54120 156.798
54130 156.81
54140 156.818
54150 156.826
54160 156.824
54170 156.817
54180 156.799
54190 156.783
54200 156.731
54210 156.7
54220 156.696
54230 156.698
54240 156.706
54250 156.731
54260 156.754
54270 156.779
54280 156.79
54290 156.79
54300 156.785
54310 156.784
54320 156.79
54330 156.795
54340 156.816
54350 156.847
54360 156.876
54370 156.886
54380 156.89
54390 156.883
54400 156.881
54410 156.883
54420 156.882
54430 156.897
54440 156.913
54450 156.912
54460 156.886
54470 156.843
54480 156.812
54490 156.801
54500 156.831
54510 156.854
54520 156.848
54530 156.846
54540 156.853
54550 156.865
54560 156.867
54570 156.865
54580 156.865
54590 156.879
54600 156.89
54610 156.888
54620 156.901
54630 156.914
54640 156.934
54650 156.948
54660 156.956
54670 156.974
54680 156.977
54690 156.98
54700 156.98
54710 156.986
54720 157.002
54730 156.996
54740 156.976
54750 156.956
54760 156.945
